algorithm,n,length,time
hash,500,8,0.7178
hash,500,8,0.761
hash,500,8,0.5637
hash,600,10,0.7024
hash,600,10,0.7942
hash,600,10,0.6621
hash,600,10,0.7045
hash,600,10,0.7156
hash,700,10,1.0112
hash,700,10,0.8074
hash,700,10,0.7702
hash,700,10,0.7686
hash,700,10,1.5938
hash,800,10,0.9089
hash,800,10,0.9114
hash,800,10,0.9083
hash,800,10,0.9094
hash,800,10,0.9204
hash,900,10,1.0467
hash,900,10,1.0434
hash,900,10,1.0636
hash,900,10,1.0603
hash,900,10,1.0425
hash,1000,15,1.2488
hash,1000,15,1.2086
hash,1000,15,1.1796
hash,1000,15,1.6179
hash,1000,15,1.4603
hash,1100,15,1.2943
hash,1100,15,1.9907
hash,1100,15,1.3358
hash,1100,15,1.3226
hash,1100,15,1.326
hash,1200,15,1.3338
hash,1200,15,2.1313
hash,1200,15,2.2615
hash,1200,15,2.1709
hash,1200,15,1.3316
hash,1300,15,1.5337
hash,1300,15,3.004
hash,1300,15,2.9546
hash,1300,15,2.9633
hash,1300,15,2.9547
hash,1400,15,1.5844
hash,1400,15,1.586
hash,1400,15,1.5849
hash,1400,15,1.5886
hash,1400,15,1.5854
hash,1500,17,2.1758
hash,1500,17,2.1751
hash,1500,17,2.1776
hash,1500,17,5.1629
hash,1500,17,5.1755
hash,1600,17,1.9244
hash,1600,17,1.9262
hash,1600,17,5.5238
hash,1600,17,2.037
hash,1600,17,1.8974
hash,1700,18,1.9727
hash,1700,18,2.0737
hash,1700,18,2.0703
hash,1700,18,2.8086
hash,1700,18,2.7592
hash,1800,18,2.2285
hash,1800,18,3.6075
hash,1800,18,6.0328
hash,1800,18,5.9422
hash,1800,18,5.9805
hash,1900,22,2.1963
hash,1900,22,2.38
hash,1900,22,3.2225
hash,1900,22,4.8169
hash,1900,22,2.3795
hash,2000,23,7.5846
hash,2000,23,7.798
hash,2000,23,2.4481
hash,2000,23,7.6042
hash,2000,23,7.588
hash,2100,23,2.5766
hash,2100,23,4.1536
hash,2100,23,2.5748
hash,2100,23,2.4787
hash,2100,23,2.579
hash,2200,23,2.7472
hash,2200,23,3.6699
hash,2200,23,5.5228
hash,2200,23,5.5
hash,2200,23,5.5493
hash,2300,23,2.6407
hash,2300,23,4.1738
hash,2300,23,4.8941
hash,2300,23,4.8997
hash,2300,23,4.9615
hash,2400,23,7.9123
hash,2400,23,8.5281
hash,2400,23,8.7804
hash,2400,23,8.9004
hash,2400,23,3.0921
hash,2500,23,3.363
hash,2500,23,3.3659
hash,2500,23,3.7088
hash,2500,23,3.8447
hash,2500,23,3.3571
hash,2600,23,3.1946
hash,2600,23,3.144
hash,2600,23,3.4231
hash,2600,23,3.5428
hash,2600,23,3.545
hash,2700,23,8.4076
hash,2700,23,12.2328
hash,2700,23,6.311
hash,2700,23,6.3407
hash,2700,23,6.3245
hash,2800,23,3.1498
hash,2800,23,3.5379
hash,2800,23,3.541
hash,2800,23,4.1172
hash,2800,23,4.0447
hash,2900,23,3.728
hash,2900,23,8.8459
hash,2900,23,8.8358
hash,2900,23,8.8376
hash,2900,23,6.3073
hash,3000,23,8.3906
hash,3000,23,3.7101
hash,3000,23,3.8984
hash,3000,23,3.8378
hash,3000,23,3.8439
hash,3100,23,8.1015
hash,3100,23,8.735
hash,3100,23,9.6286
hash,3100,23,8.8211
hash,3100,23,8.7691
hash,3200,23,9.2622
hash,3200,23,9.3995
hash,3200,23,9.2562
hash,3200,23,9.4944
hash,3200,23,9.4443
hash,3300,23,3.994
hash,3300,23,6.6162
hash,3300,23,4.1878
hash,3300,23,4.8123
hash,3300,23,4.7596
hash,3400,23,3.9692
hash,3400,23,4.3104
hash,3400,23,4.5226
hash,3400,23,4.9217
hash,3400,23,4.8998
hash,3500,23,4.1923
hash,3500,23,6.128
hash,3500,23,9.5085
hash,3500,23,9.5055
hash,3500,23,9.5621
hash,3600,23,4.252
hash,3600,23,4.624
hash,3600,23,6.1104
hash,3600,23,7.216
hash,3600,23,7.3716
hash,3700,23,4.3657
hash,3700,23,4.7485
hash,3700,23,4.9422
hash,3700,23,7.8981
hash,3700,23,8.0048
hash,3800,23,4.799
hash,3800,23,4.574
hash,3800,23,4.6499
hash,3800,23,5.1866
hash,3800,23,5.1718
hash,3900,23,4.5466
hash,3900,23,4.7344
hash,3900,23,5.2292
hash,3900,23,5.3916
hash,3900,23,5.3412
hash,4000,23,4.7607
hash,4000,23,7.4629
hash,4000,23,7.4488
hash,4000,23,8.9445
hash,4000,23,9.1091
hash,4100,23,4.6511
hash,4100,23,8.1793
hash,4100,23,8.277
hash,4100,23,8.2243
hash,4100,23,8.2526
hash,4200,23,11.6262
hash,4200,23,11.3802
hash,4200,23,11.6884
hash,4200,23,11.3947
hash,4200,23,11.1614
hash,4300,23,5.3023
hash,4300,23,5.0691
hash,4300,23,13.492
hash,4300,23,5.6903
hash,4300,23,5.3048
hash,4400,23,13.4116
hash,4400,23,9.9372
hash,4400,23,9.6537
hash,4400,23,9.6158
hash,4400,23,9.6115
hash,4500,27,5.8917
hash,4500,27,10.9228
hash,4500,27,15.2725
hash,4500,27,15.3584
hash,4500,27,13.9162
hash,4600,27,6.2858
hash,4600,27,6.2868
hash,4600,27,6.3275
hash,4600,27,6.5533
hash,4600,27,6.5488
hash,4700,27,6.2442
hash,4700,27,6.4984
hash,4700,27,7.6289
hash,4700,27,8.1006
hash,4700,27,7.8875
hash,4800,27,6.0648
hash,4800,27,6.5549
hash,4800,27,6.9757
hash,4800,27,6.85
hash,4800,27,6.5623
hash,4900,27,6.8749
hash,4900,27,7.1215
hash,4900,27,6.8623
hash,4900,27,7.1889
hash,4900,27,7.4109
hash,5000,27,15.8537
hash,5000,27,15.8413
hash,5000,27,15.6257
hash,5000,27,11.6544
hash,5000,27,11.5604
hash,5100,27,7.0307
hash,5100,27,15.9377
hash,5100,27,7.816
hash,5100,27,7.5503
hash,5100,27,7.8711
